"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.19.2015","X9.26.2015","X9.27.2015","X10.3.2015","X10.10.2015","X10.11.2015","X10.17.2015","X10.18.2015","X10.24.2015","X10.31.2015","X11.1.2015","X11.7.2015","X11.8.2015","X11.14.2015","X11.15.2015","X11.21.2015","X11.22.2015","X12.5.2015","X1.9.2016","X1.16.2016","X1.17.2016","X1.23.2016","X1.24.2016","X1.30.2016","X1.31.2016","X2.6.2016","X2.7.2016","X2.13.2016","X2.14.2016","X2.20.2016","X2.21.2016","X2.27.2016","X2.28.2016","X3.5.2016","X3.12.2016","X3.19.2016","X3.20.2016","X3.26.2016","X4.16.2016","X4.17.2016","X4.23.2016"
"114","Time Turners Quidditch",2016,1180.56949224352,1500,7934.64173959563,1500,1500,1500,1500,1500,1500,1500,1500,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1346.66892715774,1322.44028993261,1322.44028993261,1322.44028993261,1322.44028993261,1322.44028993261,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1203.38893518551,1180.56949224352,1180.56949224352,1180.56949224352,1180.56949224352
"115","Quidditch Club of Pittsburgh",2014,1317.55087542199,1444.22469693891,8665.68528333651,1444.22469693891,1444.22469693891,1444.22469693891,1444.22469693891,1444.22469693891,1444.22469693891,1435.27858421967,1381.68243645278,1312.82711435923,1312.82711435923,1312.82711435923,1318.41266663487,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1271.8191777195,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199,1317.55087542199
"116","The Southern Storm",2015,1565.99174672133,1450.70702756451,11913.6488071288,1450.70702756451,1450.70702756451,1450.70702756451,1450.70702756451,1450.70702756451,1450.70702756451,1450.70702756451,1450.70702756451,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1480.38702271598,1535.62437212955,1535.62437212955,1535.62437212955,1535.62437212955,1501.95288469962,1572.91110534809,1572.91110534809,1572.91110534809,1572.91110534809,1572.91110534809,1572.91110534809,1572.91110534809,1572.91110534809,1572.91110534809,1515.30630937736,1577.09835727036,1565.99174672133,1565.99174672133
"117","Mansfield University Fire Ferrets Quidditch",2015,1260.73360965119,1449.04978702618,2854.42796293196,1449.04978702618,1449.04978702618,1449.04978702618,1449.04978702618,1449.04978702618,1449.04978702618,1449.04978702618,1449.04978702618,1345.81645457422,1345.81645457422,1345.81645457422,1345.81645457422,1345.81645457422,1346.71542322359,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119,1260.73360965119
"118","Brandeis Quidditch",2014,1229.98041214353,1441.03681387437,12197.3240121707,1441.03681387437,1441.03681387437,1427.02943234702,1427.02943234702,1315.38791663296,1315.38791663296,1315.38791663296,1315.38791663296,1315.38791663296,1349.55583170775,1313.34639698922,1287.04316770825,1287.04316770825,1287.04316770825,1287.04316770825,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1167.1061281764,1229.98041214353,1229.98041214353,1229.98041214353,1229.98041214353,1229.98041214353
"119","Alfred University Saxons",2016,1393.574655661,1500,6967.873278305,1500,1500,1500,1500,1500,1500,1500,1500,1500,1435.28507930025,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661,1393.574655661
"120","Ithaca College Hex",2016,1192.56035154464,1500,7155.36210926783,1500,1500,1500,1500,1500,1500,1500,1500,1500,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1228.49923992422,1192.56035154464,1192.56035154464,1192.56035154464,1192.56035154464
"121","Clark University Quidditch",2014,1162.34938879222,1198.98261584238,9004.16690820619,1198.98261584238,1198.98261584238,1176.43063441035,1176.43063441035,1176.43063441035,1176.43063441035,1176.43063441035,1176.43063441035,1176.43063441035,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222,1162.34938879222
"122","University at Buffalo Dragons",2015,1254.26831320625,1294.39864706593,4825.13512609101,1294.39864706593,1294.39864706593,1294.39864706593,1294.39864706593,1294.39864706593,1294.39864706593,1294.39864706593,1294.39864706593,1294.39864706593,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625,1254.26831320625
"123","University of Massachusetts Amherst",2014,1529.74779326536,1508.24325996509,9955.47847818791,1508.24325996509,1508.24325996509,1508.24325996509,1508.24325996509,1508.24325996509,1508.24325996509,1508.24325996509,1508.24325996509,1508.24325996509,1579.18654321179,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536,1529.74779326536
