"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.20.2014","X9.21.2014","X9.27.2014","X10.4.2014","X10.5.2014","X10.11.2014","X10.18.2014","X10.19.2014","X10.25.2014","X10.26.2014","X11.1.2014","X11.2.2014","X11.3.2014","X11.8.2014","X11.9.2014","X11.15.2014","X11.16.2014","X11.22.2014","X12.6.2014","X1.11.2015","X1.17.2015","X1.18.2015","X1.24.2015","X1.31.2015","X2.7.2015","X2.14.2015","X2.15.2015","X2.21.2015","X2.22.2015","X2.28.2015","X3.1.2015","X3.7.2015","X3.14.2015","X3.21.2015","X3.22.2015","X3.23.2015","X3.28.2015","X4.11.2015","X4.12.2015","X4.25.2015"
"48","TC FROST",2014,1421.93047741159,1390.93132938871,11381.1495306164,1390.93132938871,1390.93132938871,1390.93132938871,1379.26898797258,1379.26898797258,1379.26898797258,1379.26898797258,1379.26898797258,1344.11172627695,1344.11172627695,1344.11172627695,1344.11172627695,1344.11172627695,1282.8143101143,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1331.08454920122,1339.24356270314,1339.24356270314,1339.24356270314,1339.24356270314,1339.24356270314,1339.24356270314,1339.24356270314,1335.79636713994,1436.63949096455,1421.93047741159,1421.93047741159
"49","University of Arkansas Quidditch Club",2014,1855.89495408449,1757.69310041567,14185.9609491222,1757.69310041567,1757.69310041567,1757.69310041567,1706.10196443322,1706.10196443322,1706.10196443322,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1821.03384701625,1873.38999036993,1873.38999036993,1873.38999036993,1873.38999036993,1794.10745526141,1804.08635703153,1804.08635703153,1804.08635703153,1804.08635703153,1804.08635703153,1804.08635703153,1804.08635703153,1804.08635703153,1804.08635703153,1859.30782446669,1855.89495408449,1855.89495408449
"50","Kansas Quidditch",2014,1881.87484380075,1727.12816546841,11672.5728294882,1727.12816546841,1727.12816546841,1727.12816546841,1893.10814711307,1893.10814711307,1893.10814711307,1887.65564786892,1887.65564786892,1887.65564786892,1887.65564786892,1887.65564786892,1887.65564786892,1887.65564786892,1953.68453125408,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1913.95014416163,1923.44543765566,1923.44543765566,1862.02648808479,1881.87484380075,1881.87484380075
"51","Oklahoma State University",2014,1667.00382895994,1557.35947527212,12688.9793558875,1557.35947527212,1557.35947527212,1557.35947527212,1568.77789038798,1568.77789038798,1568.77789038798,1686.19205712948,1686.19205712948,1686.19205712948,1686.19205712948,1753.36227541587,1753.36227541587,1753.36227541587,1753.36227541587,1753.36227541587,1738.79872979237,1693.48631163619,1693.48631163619,1693.48631163619,1693.48631163619,1693.48631163619,1693.48631163619,1693.48631163619,1751.02438082401,1746.43810385186,1746.43810385186,1746.43810385186,1783.0953454624,1778.35886441154,1778.35886441154,1778.35886441154,1778.35886441154,1778.35886441154,1778.35886441154,1778.35886441154,1778.35886441154,1778.35886441154,1640.75046788414,1667.00382895994,1667.00382895994
"52","Tribe",2015,1503.99792885022,1500,8979.53597294121,1500,1500,1500,1496.58932882353,1496.58932882353,1496.58932882353,1482.27192923756,1482.27192923756,1482.27192923756,1482.27192923756,1482.27192923756,1482.27192923756,1482.27192923756,1482.27192923756,1482.27192923756,1439.53088399117,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1433.73420602666,1466.24492915147,1491.06860354761,1491.06860354761,1491.06860354761,1491.06860354761,1491.06860354761,1491.06860354761,1491.06860354761,1491.06860354761,1491.06860354761,1446.52488801005,1503.99792885022,1503.99792885022
"53","Penn State University Nittany Lions",2014,1814.47622771546,1670.29586327786,16434.7489772455,1670.29586327786,1670.29586327786,1670.29586327786,1652.86659965591,1652.86659965591,1552.00977280101,1552.00977280101,1552.00977280101,1552.00977280101,1552.00977280101,1606.72359529224,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1605.9167712953,1712.57410439414,1741.74389593981,1814.47622771546,1814.47622771546
"54","Crimson Warhawks",2014,1295.80645436913,1482.94523614034,14455.3173513049,1482.94523614034,1482.94523614034,1482.94523614034,1492.87271341031,1492.87271341031,1492.87271341031,1509.03629488251,1509.03629488251,1509.03629488251,1509.03629488251,1492.8754433731,1492.8754433731,1492.8754433731,1461.52830373847,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1403.36851408195,1393.87322058793,1393.87322058793,1260.12891475033,1295.80645436913,1295.80645436913
"55","Wichita State University",2014,1122.57148111412,1404.51554437305,15961.3916895991,1404.51554437305,1404.51554437305,1404.51554437305,1334.77465333183,1334.77465333183,1334.77465333183,1334.77465333183,1334.77465333183,1334.77465333183,1334.77465333183,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1283.76528655486,1186.51241228004,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412,1122.57148111412
"56","Indiana University Quidditch",2015,1355.89036345501,1500,8073.76307883949,1500,1500,1500,1355.8381934247,1355.8381934247,1355.8381934247,1355.8381934247,1355.8381934247,1345.62717980658,1345.62717980658,1345.62717980658,1345.62717980658,1345.62717980658,1417.11681634952,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1494.05180517808,1531.05535797147,1333.97254995592,1355.89036345501,1355.89036345501
"57","Marquette University Quidditch",2014,1539.27112418541,1495.78024515312,10569.6753850144,1495.78024515312,1495.78024515312,1495.78024515312,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1454.01858594735,1541.45184828707,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1517.04644334148,1534.52111949063,1523.13682420174,1523.13682420174,1539.27112418541,1539.27112418541,1539.27112418541,1539.27112418541
