"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.24.2016","X9.25.2016","X10.1.2016","X10.8.2016","X10.9.2016","X10.15.2016","X10.22.2016","X10.23.2016","X10.29.2016","X10.30.2016","X11.5.2016","X11.6.2016","X11.12.2016","X11.13.2016","X11.19.2016","X11.20.2016","X12.3.2016","X1.14.2017","X1.21.2017","X1.28.2017","X2.4.2017","X2.11.2017","X2.12.2017","X2.18.2017","X2.19.2017","X2.25.2017","X2.26.2017","X3.4.2017","X3.5.2017","X3.11.2017","X3.18.2017","X3.25.2017","X3.26.2017","X4.8.2017","X4.9.2017"
"28","SUNY Geneseo",2014,1371.01392311257,1426.87453328235,9932.16131359058,1426.87453328235,1366.10459387671,1366.10459387671,1366.10459387671,1366.10459387671,1366.10459387671,1366.10459387671,1366.10459387671,1361.76727611587,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257,1371.01392311257
"29","University of Rochester Thestrals",2014,1763.02634289429,1517.99910178092,12254.7211400492,1517.99910178092,1578.76904118656,1578.76904118656,1578.76904118656,1578.76904118656,1690.29567624092,1690.29567624092,1690.29567624092,1800.67710663887,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1784.33008063437,1673.02758102213,1673.02758102213,1673.02758102213,1673.02758102213,1673.02758102213,1673.02758102213,1673.02758102213,1673.02758102213,1773.9865689004,1763.02634289429
"30","TC FROST",2014,1730.91489347314,1403.04848551429,11381.1495306164,1403.04848551429,1403.04848551429,1523.86438708457,1523.86438708457,1523.86438708457,1523.86438708457,1595.7605082285,1645.78124265474,1645.78124265474,1645.78124265474,1645.78124265474,1645.78124265474,1678.52665860914,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1587.3182801963,1622.36804849046,1622.36804849046,1690.98248924314,1690.98248924314,1690.98248924314,1690.98248924314,1745.57950070769,1730.91489347314,1730.91489347314,1730.91489347314
"31","Loyola University Chicago",2014,1069.00781520432,1159.75921415558,10060.8008633514,1159.75921415558,1159.75921415558,1149.28153471406,1127.14806723608,1127.14806723608,1127.14806723608,1125.23667727642,1115.67253666343,1115.67253666343,1115.67253666343,1115.67253666343,1115.67253666343,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432,1069.00781520432
"32","Minnesota Quidditch",2014,1752.97949020111,1612.23076684932,11023.5769788146,1612.23076684932,1612.23076684932,1633.99024852521,1633.99024852521,1633.99024852521,1655.82425662883,1655.82425662883,1655.82425662883,1655.82425662883,1655.82425662883,1655.82425662883,1655.82425662883,1642.53640082631,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1742.81575942159,1785.14662026795,1785.14662026795,1785.14662026795,1785.14662026795,1785.14662026795,1785.14662026795,1752.97949020111,1752.97949020111
"33","Creighton Quidditch",2017,1312.04632022389,1500,10700.3737787983,1500,1500,1343.8379989161,1343.8379989161,1343.8379989161,1337.54672234979,1337.54672234979,1337.54672234979,1337.54672234979,1337.54672234979,1337.54672234979,1337.54672234979,1316.33427063496,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389,1312.04632022389
"34","University of Dayton Quidditch",2017,1405.51292618825,1500,10517.0168661593,1500,1500,1493.61461731267,1493.61461731267,1493.61461731267,1493.61461731267,1493.61461731267,1493.61461731267,1493.61461731267,1493.61461731267,1502.4309808799,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1439.5422177883,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825,1405.51292618825
"35","Toledo Quidditch",2016,1279.54195108133,1326.79246311216,11273.0459542992,1326.79246311216,1326.79246311216,1336.06547669362,1290.51109319036,1290.51109319036,1290.51109319036,1290.51109319036,1290.51109319036,1290.51109319036,1290.51109319036,1237.80181561332,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133,1279.54195108133
"36","Michigan State Quidditch",2014,1302.8902896456,1534.56113997401,11963.0334437354,1534.56113997401,1534.56113997401,1497.79890309816,1497.79890309816,1497.79890309816,1472.7567483847,1472.7567483847,1472.7567483847,1472.7567483847,1472.7567483847,1375.5999075174,1341.2227060012,1341.2227060012,1341.2227060012,1341.2227060012,1341.2227060012,1341.2227060012,1341.2227060012,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1250.47555864057,1302.8902896456,1302.8902896456,1302.8902896456
"37","Falcon Warriors Quidditch Club",2014,1220.95199395255,1387.02136840068,10377.7915802256,1387.02136840068,1387.02136840068,1393.83930828307,1345.25301237175,1345.25301237175,1345.25301237175,1345.25301237175,1345.25301237175,1345.25301237175,1345.25301237175,1347.23723905092,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1234.33214668731,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255,1220.95199395255
"38","Quidditch Club at the University of Tennessee Knoxville",2017,1228.846254394,1500,11147.748269578,1500,1500,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1246.78861580021,1234.19996738942,1234.19996738942,1234.19996738942,1234.19996738942,1234.19996738942,1234.19996738942,1234.19996738942,1238.63869661977,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394,1228.846254394
